date,passager
2019/7/3,361.7
2019/7/4,354.15
2019/7/5,342.5
2019/7/6,257.9
2019/7/7,203.95
2019/7/8,359.55
2019/7/9,415
2019/7/10,361.9
2019/7/11,303.3
2019/7/12,333.1
2019/7/13,302.7
2019/7/14,193.5
2019/7/15,344
2019/7/16,408.5
2019/7/17,369.45
2019/7/18,359.5
2019/7/19,335.65
2019/7/20,226.75
2019/7/21,186.95
2019/7/22,324.9
2019/7/23,393.85
2019/7/24,342.65
2019/7/25,324.45
2019/7/26,344.35
2019/7/27,238.1
2019/7/28,170.8
2019/7/29,297.8
2019/7/30,407.55
2019/7/31,381.2
2019/8/1,316.1
2019/8/2,275.55
2019/8/3,222.6
2019/8/4,186.8
2019/8/5,308.35
2019/8/6,371
2019/8/7,333.7
2019/8/8,322.75
2019/8/9,311.45
2019/8/10,222.2
2019/8/11,157.4
2019/8/12,297.85
2019/8/13,356.9
2019/8/14,307.85
2019/8/15,302.3
2019/8/16,289.9
2019/8/17,201.3
2019/8/18,166.4
2019/8/19,319.45
2019/8/20,381.25
2019/8/21,328.45
2019/8/22,316.25
2019/8/23,310.25
2019/8/24,224.25
2019/8/25,177.6
2019/8/26,310.95
2019/8/27,370.75
2019/8/28,319.65
2019/8/29,325.55
2019/8/30,335.25
2019/8/31,359.05
2019/9/1,240.35
2019/9/2,264.65
2019/9/3,399.1
2019/9/4,335.85
2019/9/5,343.2
2019/9/6,366.35
2019/9/7,253.9
2019/9/8,193.4
2019/9/9,341.4
2019/9/10,407.25
2019/9/11,361.1
2019/9/12,356.8
2019/9/13,169.55
2019/9/14,128.2
2019/9/15,259.7
2019/9/16,354.95
2019/9/17,349.6233579
2019/9/18,328.2170769
2019/9/19,254.6184998
2019/9/20,132.503455
2019/9/21,175.8745891
2019/9/22,200.207638
2019/9/23,288.4221508
